area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
7420,4,2,3,True,False,False,False,True,2,True,furnished,13300000
8960,4,4,4,True,False,False,False,True,3,False,furnished,12250000
9960,3,2,2,True,False,True,False,False,2,True,semi-furnished,12250000
7500,4,2,2,True,False,True,False,True,3,True,furnished,12215000
7420,4,1,2,True,True,True,False,True,2,False,furnished,11410000
7500,3,3,1,True,False,True,False,False,2,False,semi-furnished,10850000
8580,4,3,4,True,False,False,False,True,2,True,semi-furnished,10150000
16200,5,3,2,True,False,False,False,False,0,False,unfurnished,10150000
8100,4,1,2,True,True,False,False,True,2,True,furnished,9870000
5750,3,2,4,True,True,False,False,True,1,True,furnished,9800000
13200,3,1,2,True,False,True,False,True,2,True,furnished,9681000
6000,4,3,2,True,True,True,False,False,2,False,semi-furnished,9310000
6550,3,2,2,True,False,True,False,True,1,True,semi-furnished,9240000
3500,4,2,2,True,False,False,True,True,2,False,furnished,9240000
7800,3,2,2,True,False,False,False,False,0,True,semi-furnished,9100000
6000,3,1,2,True,False,True,False,False,2,False,semi-furnished,9100000
6600,3,2,2,True,True,True,False,True,1,True,unfurnished,8960000
8500,3,2,4,True,True,False,False,True,2,False,furnished,8890000
4600,3,2,2,True,False,False,True,False,2,False,furnished,8855000
6420,3,2,1,True,False,False,False,True,2,True,semi-furnished,8750000
4320,3,1,2,True,False,True,True,False,2,True,semi-furnished,8680000
7155,3,2,1,True,True,True,False,True,2,False,furnished,8645000
6000,4,2,4,True,False,False,False,True,2,False,semi-furnished,8575000
6600,3,1,2,True,True,False,False,True,1,True,unfurnished,8540000
5900,3,2,3,True,False,True,False,True,1,True,furnished,8463000
4000,3,1,1,True,False,True,False,False,2,False,semi-furnished,8400000
4600,3,2,1,True,True,False,False,True,2,True,furnished,8400000
5900,2,2,1,True,False,True,False,True,1,False,furnished,8382000
5500,4,1,2,True,False,False,False,True,2,False,furnished,8190000
4600,3,2,2,True,True,False,False,True,2,True,unfurnished,8120000
5020,3,1,2,True,False,False,False,False,1,True,semi-furnished,8015000
3060,3,1,1,True,False,True,False,False,1,True,semi-furnished,7980000
6000,3,1,1,True,True,False,False,True,2,False,semi-furnished,7962000
6040,2,1,1,True,False,False,False,True,2,True,furnished,7910000
3150,3,1,2,True,False,False,False,True,1,True,furnished,7875000
6100,3,2,1,True,False,True,False,True,2,True,semi-furnished,7840000
5000,3,1,1,True,False,True,False,False,2,True,unfurnished,7700000
3880,3,2,2,True,False,False,False,True,1,False,furnished,7560000
3850,2,1,1,True,False,False,False,True,0,False,semi-furnished,7350000
4400,3,2,2,True,False,False,False,False,1,False,semi-furnished,7245000
4815,3,1,1,True,False,True,False,True,1,False,semi-furnished,7000000
4960,3,1,1,True,False,False,False,True,1,False,semi-furnished,6930000
3500,4,1,2,True,False,False,False,True,2,False,semi-furnished,6930000
5500,3,1,2,True,True,False,False,True,0,True,furnished,6860000
3000,2,1,1,True,False,True,False,False,2,False,semi-furnished,6720000
3500,3,1,2,False,False,False,False,False,2,False,unfurnished,6650000
3620,2,1,1,False,False,True,False,True,0,True,semi-furnished,6440000
2910,3,1,1,False,False,False,False,True,0,False,furnished,6300000
3000,2,1,1,True,False,True,False,False,2,False,unfurnished,6020000
2400,3,1,1,True,False,False,False,True,1,False,semi-furnished,5600000
